KRAFT Stefan AUT 104.8 250.0 180.0 16.5 17.0 16.5 16.5 16.5 49.5 08 17.8 0.21 -3.0 244.3 1
WELLINGER Andreas GER 105.2 238.5 166.2 19.0 19.5 19.5 19.0 19.0 57.5 08 17.8 0.37 -5.3 236.2 2
KASAI Noriaki JPN 104.6 239.0 166.8 19.0 19.5 19.0 19.5 19.5 58.0 09 9.0 0.69 -9.9 223.9 3
EISENBICHLER Markus GER 105.6 243.0 171.6 18.0 17.5 18.0 18.0 18.0 54.0 10 0 0.17 -2.4 223.2 4
STOCH Kamil POL 103.4 222.5 147.0 19.5 19.0 19.0 19.0 19.5 57.5 08 17.8 0.38 -5.5 216.8 5
PREVC Peter SLO 105.0 229.0 154.8 19.0 19.0 19.5 19.0 19.0 57.0 09 9.0 0.62 -8.9 211.9 6
JOHANSSON Robert NOR 106.5 232.0 158.4 19.0 19.0 19.5 19.0 19.0 57.0 10 0 0.25 -3.6 211.8 7
TEPES Jurij SLO 106.3 231.5 157.8 18.5 19.5 19.0 19.0 19.0 57.0 10 0 0.34 -4.9 209.9 8
FORFANG Johann.Andre NOR 105.6 225.0 150.0 19.0 19.0 18.5 19.0 19.5 57.0 10 0 -0.15 2.6 209.6 9
FANNEMEL Anders NOR 106.2 224.0 148.8 18.0 18.5 19.0 19.0 19.0 56.5 10 0 -0.15 2.6 207.9 10
ZYLA Piotr POL 105.4 228.5 154.2 19.0 19.0 19.0 19.0 19.0 57.0 10 0 0.31 -4.5 206.7 11
HAYBOECK Michael AUT 105.8 225.5 150.6 18.5 18.5 18.0 18.5 18.5 55.5 09 9.0 0.77 -11.1 204.0 12
STJERNEN Andreas NOR 107.0 224.0 148.8 19.5 18.5 18.5 19.0 18.5 56.0 10 0 0.06 -0.9 203.9 13
KOT Maciej POL 105.6 220.5 144.6 19.0 18.5 19.0 18.5 18.5 56.0 10 0 -0.02 0.3 200.9 14
KUBACKI Dawid POL 105.9 223.0 147.6 18.5 18.0 17.5 17.5 18.5 54.0 10 0 0.28 -4.0 197.6 15
FREITAG Richard GER 106.0 217.5 141.0 18.5 18.0 17.5 18.0 18.0 54.0 10 0 0.01 -0.1 194.9 16
PREVC Domen SLO 105.2 226.5 151.8 18.0 18.5 18.0 18.5 18.0 54.5 10 0 0.87 -12.5 193.8 17
FETTNER Manuel AUT 105.5 218.5 142.2 19.0 18.5 18.5 18.0 18.0 55.0 10 0 0.37 -5.3 191.9 18
KLIMOV Evgeniy RUS 105.9 218.0 141.6 18.0 18.5 18.5 18.5 18.0 55.0 10 0 0.35 -5.0 191.6 19
KOUDELKA Roman CZE 105.3 216.5 139.8 18.0 18.5 18.5 18.5 18.5 55.5 10 0 0.28 -4.0 191.3 20
AMMANN Simon SUI 105.4 220.0 144.0 16.5 16.5 16.0 16.5 16.0 49.0 10 0 0.19 -2.7 190.3 21
ITO Daiki JPN 105.8 213.0 135.6 18.0 18.0 18.0 18.0 18.0 54.0 10 0 -0.03 0.5 190.1 22
GEIGER Karl GER 106.4 213.0 135.6 18.0 18.0 18.5 18.0 18.5 54.5 10 0 0.01 -0.1 190.0 23
DAMJAN Jernej SLO 104.9 212.0 134.4 17.5 17.5 18.0 18.0 18.0 53.5 10 0 -0.09 1.6 189.5 24
LANISEK Anze SLO 106.1 212.5 135.0 18.0 18.0 18.0 18.0 18.0 54.0 10 0 0.28 -4.0 185.0 25
DESCOMBES.SEVOIE Vincent FRA 105.2 213.5 136.2 18.5 18.0 18.5 18.0 18.0 54.5 10 0 0.48 -6.9 183.8 26
TAKEUCHI Taku JPN 105.1 210.0 132.0 18.0 17.5 18.0 18.0 18.0 54.0 10 0 0.17 -2.4 183.6 27
ZIOBRO Jan POL 104.9 210.5 132.6 17.5 18.0 18.0 17.0 17.5 53.0 10 0 0.44 -6.3 179.3 28
LEYHE Stephan GER 105.7 193.0 111.6 17.0 17.0 16.5 17.0 17.5 51.0 10 0 -0.17 3.0 165.6 29
