STOCH Kamil 96.8 238.5 166.2 19.5 19.0 19.5 19.5 19.5 58.5 09 20.7 1.19 -17.1 228.3 2
STOCH Kamil 96.3 237.0 164.4 19.5 19.5 19.5 19.0 19.5 58.5 08 27.5 0.84 -12.1 238.3 1
KASAI Noriaki 96.9 239.5 167.4 19.5 18.5 19.0 19.0 18.5 56.5 10 13.8 1.47 -21.2 216.5 5
KASAI Noriaki 96.8 241.5 169.8 18.5 19.0 19.0 19.0 19.0 57.0 09 20.7 1.11 -16.0 231.5 2
HAYBOECK Michael 97.6 241.5 169.8 18.5 19.0 18.5 19.0 19.0 56.5 10 13.8 1.03 -14.8 225.3 4
HAYBOECK Michael 97.0 222.5 147.0 18.5 18.5 18.0 18.5 18.5 55.5 09 20.7 1.26 -18.1 205.1 6
FORFANG JohannAndre 97.8 242.5 171.0 18.0 18.5 18.5 18.5 18.5 55.5 12 0 1.15 -16.6 209.9 8
FORFANG JohannAndre 97.1 245.5 174.6 16.0 16.0 16.0 15.5 14.5 47.5 10 13.8 1.19 -17.1 218.8 3
KRAFT Stefan 96.5 237.5 165.0 19.0 18.5 19.0 19.0 19.0 57.0 08 27.5 1.57 -22.6 226.9 3
KRAFT Stefan 96.5 215.0 138.0 18.0 18.0 18.0 18.0 18.0 54.0 08 27.5 1.50 -21.6 197.9 11
PREVC Peter 95.9 235.5 162.6 18.0 17.5 17.5 19.0 17.5 53.0 09 20.7 1.78 -25.6 210.7 6
PREVC Peter 96.5 232.5 159.0 19.0 18.5 19.0 19.0 19.0 57.0 10 13.8 1.21 -17.4 212.4 5
TEPES Jurij 97.3 229.5 155.4 17.5 18.0 17.5 18.0 18.0 53.5 10 13.8 1.22 -17.6 205.1 10
TEPES Jurij 98.7 242.0 170.4 19.0 19.0 19.0 19.0 19.0 57.0 12 0 0.74 -10.7 216.7 4
PREVC Domen 97.0 236.5 163.8 18.0 18.5 18.5 19.0 18.5 55.5 10 13.8 1.69 -24.3 208.8 9
PREVC Domen 97.8 243.5 172.2 15.0 16.0 15.5 15.0 15.5 46.0 12 0 1.20 -17.3 200.9 9
STJERNEN Andreas 97.6 227.0 152.4 17.5 17.5 17.5 17.0 17.5 52.5 10 13.8 1.23 -17.7 201.0 13
STJERNEN Andreas 98.2 225.0 150.0 18.5 18.0 18.5 18.5 18.0 55.0 11 6.9 0.59 -8.5 203.4 7
JOHANSSON Robert 98.1 234.0 160.8 18.5 18.5 18.0 18.5 18.0 55.0 10 13.8 1.32 -19.0 210.6 7
JOHANSSON Robert 97.9 215.0 138.0 18.0 18.0 17.5 18.0 18.0 54.0 10 13.8 0.93 -13.4 192.4 14
GEIGER Karl 98.5 227.0 152.4 18.5 18.5 18.0 18.0 18.5 55.0 11 6.9 1.08 -15.6 198.7 16
GEIGER Karl 98.7 239.0 166.8 18.5 18.5 18.0 18.5 18.5 55.5 12 0 1.56 -22.5 199.8 10
ITO Daiki 97.8 243.0 171.6 16.0 16.0 16.0 16.0 16.0 48.0 12 0 1.43 -20.6 199.0 15
ITO Daiki 97.8 220.5 144.6 18.5 18.0 18.5 18.0 18.5 55.0 11 6.9 0.80 -11.5 195.0 12
FANNEMEL Anders 97.8 229.0 154.8 18.0 18.0 19.0 18.5 18.0 54.5 12 0 1.37 -19.7 189.6 17
FANNEMEL Anders 98.3 244.0 172.8 17.0 17.0 16.5 16.5 17.0 50.5 12 0 1.41 -20.3 203.0 8
KOT Maciej 97.2 221.5 145.8 18.5 18.5 18.0 18.5 18.5 55.5 10 13.8 1.08 -15.6 199.5 14
KOT Maciej 98.2 221.0 145.2 18.0 17.5 18.0 18.0 18.0 54.0 11 6.9 1.28 -18.4 187.7 16
BICKNER Kevin 97.4 244.5 173.4 15.5 15.5 15.5 15.0 15.0 46.0 11 6.9 1.60 -23.0 203.3 12
BICKNER Kevin 97.6 234.5 161.4 9.0 7.5 8.0 8.5 8.0 24.5 11 6.9 0.97 -14.0 178.8 19
AMMANN Simon 97.5 239.5 167.4 14.5 14.0 11.0 15.0 12.0 40.5 11 6.9 1.92 -27.6 187.2 18
AMMANN Simon 97.8 230.0 156.0 16.5 17.0 17.0 16.0 16.5 50.0 12 0 1.13 -16.3 189.7 15
KUBACKI Dawid 98.9 214.0 136.8 18.5 18.0 18.0 18.0 17.5 54.0 11 6.9 1.38 -19.9 177.8 20
KUBACKI Dawid 98.7 232.0 158.4 18.0 18.5 17.5 18.5 17.5 54.0 12 0 1.25 -18.0 194.4 13
WELLINGER Andreas 96.9 242.0 170.4 19.0 19.0 19.0 19.0 19.0 57.0 09 20.7 1.33 -19.2 228.9 1
WELLINGER Andreas 96.3 166.0 79.2 15.0 15.0 15.0 15.0 15.5 45.0 08 27.5 0.61 -8.8 142.9 26
SEMENIC Anze 97.6 216.0 139.2 18.5 18.0 18.5 18.0 18.0 54.5 11 6.9 1.83 -26.4 174.2 22
SEMENIC Anze 98.5 223.5 148.2 18.5 18.0 18.5 18.5 18.5 55.5 12 0 1.22 -17.6 186.1 17
KOUDELKA Roman 97.7 215.5 138.6 18.0 18.0 18.5 18.5 17.5 54.5 12 0 1.25 -18.0 175.1 21
KOUDELKA Roman 97.6 219.0 142.8 17.5 17.5 18.0 18.0 18.0 53.5 12 0 1.18 -17.0 179.3 18
GRANERUD HalvorEgner 97.8 220.0 144.0 17.0 17.5 17.5 17.0 17.0 51.5 12 0 1.64 -23.6 171.9 23
GRANERUD HalvorEgner 98.1 216.0 139.2 18.0 18.0 18.0 18.0 17.5 54.0 12 0 1.47 -21.2 172.0 21
POLASEK Viktor 97.4 222.0 146.4 18.0 18.0 18.0 18.5 18.0 54.0 12 0 1.52 -21.9 178.5 19
POLASEK Viktor 97.9 213.0 135.6 18.0 18.0 18.0 18.0 18.0 54.0 12 0 1.85 -26.6 163.0 22
ZYLA Piotr 96.3 195.0 114.0 16.0 16.5 16.0 16.0 16.5 48.5 10 13.8 1.19 -17.1 159.2 28
ZYLA Piotr 97.7 207.0 128.4 18.0 17.5 18.0 17.5 17.5 53.0 12 0 0.39 -5.6 175.8 20
LANISEK Anze 97.3 193.5 112.2 17.0 16.5 17.0 17.0 16.5 50.5 11 6.9 0.95 -13.7 155.9 30
LANISEK Anze 98.1 201.5 121.8 18.0 17.0 18.0 17.5 17.5 53.0 12 0 1.05 -15.1 159.7 23
INSAM Alex 97.8 217.5 141.0 16.5 17.0 16.0 16.5 15.5 49.0 12 0 1.90 -27.4 162.6 25
INSAM Alex 98.0 185.5 102.6 17.0 16.5 16.5 17.0 16.5 50.0 12 0 0.50 -7.2 145.4 24
FETTNER Manuel 97.5 182.5 99.0 15.5 15.5 15.5 16.0 16.0 47.0 10 13.8 0.19 -2.7 157.1 29
FETTNER Manuel 98.0 180.5 96.6 17.0 16.5 16.5 17.0 17.0 50.5 12 0 0.15 -2.2 144.9 25
DAMJAN Jernej 96.9 226.5 151.8 19.0 18.5 19.0 18.5 19.5 56.5 10 13.8 1.30 -18.7 203.4 11
DAMJAN Jernej 98.1 135.0 42.0 14.0 14.0 14.0 14.5 14.0 42.0 12 0 0.36 -5.2 78.8 29
SCHLIERENZAUER Gregor 96.9 196.0 115.2 18.0 17.5 17.5 17.5 18.5 53.0 11 6.9 0.95 -13.7 161.4 26
SCHLIERENZAUER Gregor 97.7 153.0 63.6 15.0 14.5 15.0 15.5 15.0 45.0 12 0 0.78 -11.2 97.4 27
HUBER Stefan 98.3 208.0 129.6 18.0 18.0 18.5 18.0 18.0 54.0 12 0 1.65 -23.8 159.8 27
HUBER Stefan 98.4 134.5 41.4 16.0 15.5 15.5 16.0 15.5 47.0 12 0 0.25 -3.6 84.8 28
FREITAG Richard 96.8 198.0 117.6 17.5 17.0 17.0 17.0 17.5 51.5 10 13.8 1.28 -18.4 164.5 24
FREITAG Richard 97.8 128.0 33.6 14.0 14.0 14.5 14.5 14.5 43.0 12 0 0.92 -13.2 63.4 30
SCHIFFNER Markus 98.2 200.0 120.0 18.0 17.0 17.5 17.5 17.0 52.0 12 0 1.18 -17.0 155.0 31
TANDE Daniel.Andre 97.0 182.0 98.4 15.0 14.5 15.0 15.5 14.5 44.5 09 20.7 0.89 -12.8 150.8 32
GLASDER Michael 98.0 192.0 110.4 17.0 17.0 16.5 17.0 17.0 51.0 11 6.9 1.43 -20.6 147.7 33
BJOERENG Joacim.Oedegaard 98.0 192.5 111.0 16.5 17.0 17.0 17.0 16.5 50.5 12 0 1.26 -18.1 143.4 34
DESCOMBES.SEVOIE Vincent 96.6 186.0 103.2 15.0 15.0 15.0 15.0 14.5 45.0 10 13.8 1.53 -22.0 140.0 35
KLIMOV Evgeniy 97.2 180.0 96.0 15.0 15.0 15.5 15.5 15.0 45.5 10 13.8 1.22 -17.6 137.7 36
WANK Andreas 98.6 145.5 54.6 14.5 14.0 14.5 14.5 14.5 43.5 11 6.9 0.35 -5.0 100.0 37
EISENBICHLER Markus 96.3 141.5 49.8 14.5 14.5 14.5 14.5 15.0 43.5 10 13.8 0.82 -11.8 95.3 38
MAEAETTAE Jarkko 97.4 143.0 51.6 14.5 14.0 14.0 14.5 14.5 43.0 11 6.9 0.71 -10.2 91.3 39
KARLEN Gabriel 96.8 118.0 21.6 14.0 14.0 14.0 13.5 14.5 42.0 12 0 0.38 -5.5 58.1 40
